# Generated by tools/nelisp-c-primitive-census.sh -- do not hand-edit.
# 2026-09-21 | standalone=../nelisp-wt-segG1/target/nelisp | emacs=GNU Emacs 31.1
# c-primitives=1481 present=382 native=90 interpreted=292 absent=1099
#
# name	state	score	agent	vendor
%	interpreted	168	56	0
comp--register-subr	absent	0	0	0
comp--release-ctxt	absent	0	0	0
comp--subr-signature	absent	0	0	0
comp-el-to-eln-filename	absent	0	0	0
comp-el-to-eln-rel-filename	absent	0	0	0
comp-libgccjit-version	absent	0	0	0
comp-native-compiler-options-effective-p	absent	0	0	0
comp-native-driver-options-effective-p	absent	0	0	0
compare-buffer-substrings	absent	0	0	0
compare-strings	interpreted	0	0	0
completing-read	absent	0	0	0
completion--flex-cost-gotoh	absent	0	0	0
compose-region-internal	absent	0	0	0
compose-string-internal	absent	0	0	0
composition-get-gstring	absent	0	0	0
composition-sort-rules	absent	0	0	0
compute-motion	absent	0	0	0
concat	native	234	78	0
cond	interpreted	126	42	0
condition-case	absent	378	126	0
condition-mutex	absent	0	0	0
condition-name	absent	0	0	0
condition-notify	absent	0	0	0
condition-variable-p	absent	0	0	0
condition-wait	absent	0	0	0
cons	interpreted	5613	1871	0
consp	native	369	123	0
constrain-to-field	absent	0	0	0
continue-process	absent	0	0	0
controlling-tty-p	absent	0	0	0
coordinates-in-window-p	absent	0	0	0
copy-alist	absent	0	0	0
copy-category-table	absent	0	0	0
copy-file	absent	0	0	0
copy-hash-table	interpreted	0	0	0
copy-keymap	absent	0	0	0
copy-marker	absent	0	0	0
copy-sequence	interpreted	405	135	0
copy-syntax-table	absent	0	0	0
copysign	absent	0	0	0
cos	absent	39	13	0
current-active-maps	absent	0	0	0
current-bidi-paragraph-direction	absent	0	0	0
current-buffer	interpreted	69	23	0
current-case-table	absent	0	0	0
current-column	interpreted	0	0	0
current-cpu-time	absent	0	0	0
current-global-map	absent	0	0	0
current-idle-time	absent	0	0	0
current-indentation	absent	0	0	0
current-input-mode	absent	0	0	0
current-local-map	absent	0	0	0
current-message	absent	0	0	0
current-minor-mode-maps	absent	0	0	0
current-thread	absent	0	0	0
current-time	interpreted	3	1	0
current-time-string	interpreted	0	0	0
current-time-zone	absent	0	0	0
current-window-configuration	absent	0	0	0
daemon-initialized	absent	0	0	0
daemonp	absent	0	0	0
dbus--fd-close	absent	0	0	0
dbus--fd-open	absent	0	0	0
dbus--init-bus	absent	0	0	0
dbus--registered-fds	absent	0	0	0
dbus-get-unique-name	absent	0	0	0
dbus-message-internal	absent	0	0	0
debugger-trap	absent	0	0	0
declare-equiv-charset	absent	0	0	0
decode-big5-char	absent	0	0	0
decode-char	interpreted	0	0	0
decode-coding-region	interpreted	6	2	0
decode-coding-string	interpreted	9	3	0
decode-sjis-char	absent	0	0	0
decode-time	interpreted	0	0	0
defalias	interpreted	24	8	0
default-boundp	absent	0	0	0
default-file-modes	absent	0	0	0
default-toplevel-value	absent	0	0	0
default-value	absent	0	0	0
defconst	interpreted	705	235	0
defconst-1	absent	0	0	0
define-category	absent	0	0	0
define-charset-alias	absent	0	0	0
define-charset-internal	absent	0	0	0
define-coding-system-alias	absent	0	0	0
define-coding-system-internal	absent	0	0	0
define-fringe-bitmap	absent	0	0	0
define-hash-table-test	absent	0	0	0
define-key	interpreted	30	10	0
defining-kbd-macro	absent	0	0	0
defvar	interpreted	165	55	0
defvar-1	absent	0	0	0
defvaralias	absent	0	0	0
delete	interpreted	3	1	0
delete-all-overlays	absent	0	0	0
delete-and-extract-region	absent	0	0	0
delete-char	absent	0	0	0
delete-directory-internal	absent	0	0	0
delete-field	absent	0	0	0
delete-file-internal	absent	0	0	0
delete-frame	absent	0	0	0
delete-other-windows-internal	absent	0	0	0
delete-overlay	absent	0	0	0
delete-process	interpreted	12	4	0
delete-region	interpreted	3	1	0
delete-terminal	absent	0	0	0
delete-window-internal	absent	0	0	0
delq	interpreted	15	5	0
describe-buffer-bindings	absent	0	0	0
describe-vector	absent	0	0	0
destroy-fringe-bitmap	absent	0	0	0
detect-coding-region	absent	0	0	0
detect-coding-string	absent	0	0	0
ding	absent	0	0	0
directory-file-name	interpreted	18	6	0
directory-files	interpreted	3	1	0
directory-files-and-attributes	interpreted	0	0	0
directory-name-p	absent	0	0	0
discard-input	absent	0	0	0
display--line-is-continued-p	absent	0	0	0
display--update-for-mouse-movement	absent	0	0	0
display-supports-face-attributes-p	absent	0	0	0
do-auto-save	absent	0	0	0
documentation	absent	0	0	0
documentation-property	absent	0	0	0
documentation-stringp	absent	0	0	0
downcase	interpreted	33	11	0
downcase-region	absent	0	0	0
downcase-word	absent	0	0	0
dump-emacs-portable	absent	0	0	0
dump-emacs-portable--sort-predicate	absent	0	0	0
dump-emacs-portable--sort-predicate-copied	absent	0	0	0
elt	native	6	2	0
emacs-pid	interpreted	9	3	0
encode-big5-char	absent	0	0	0
encode-char	absent	0	0	0
encode-coding-region	interpreted	0	0	0
encode-coding-string	interpreted	42	14	0
encode-sjis-char	absent	0	0	0
encode-time	interpreted	0	0	0
end-kbd-macro	absent	0	0	0
end-of-line	interpreted	0	0	0
eobp	interpreted	6	2	0
eolp	interpreted	0	0	0
eq	interpreted	1113	371	0
eql	interpreted	0	0	0
equal	native	879	293	0
equal-including-properties	interpreted	0	0	0
erase-buffer	interpreted	0	0	0
error-message-string	interpreted	48	16	0
eval	interpreted	12	4	0
eval-buffer	absent	0	0	0
eval-region	absent	0	0	0
event-convert-list	absent	0	0	0
execute-kbd-macro	absent	0	0	0
exit-recursive-edit	absent	0	0	0
exp	interpreted	108	36	0
expand-file-name	interpreted	222	74	0
expt	interpreted	36	12	0
external-debugging-output	absent	0	0	0
face-attribute-relative-p	absent	0	0	0
face-attributes-as-vector	absent	0	0	0
face-font	absent	0	0	0
fboundp	native	156	52	0
fceiling	interpreted	0	0	0
featurep	native	3	1	0
ffloor	interpreted	0	0	0
field-beginning	absent	0	0	0
field-end	absent	0	0	0
field-string	absent	0	0	0
field-string-no-properties	absent	0	0	0
file-accessible-directory-p	absent	0	0	0
file-acl	absent	0	0	0
file-attributes	interpreted	57	19	0
file-attributes-lessp	absent	0	0	0
file-directory-p	interpreted	72	24	0
file-executable-p	interpreted	0	0	0
file-exists-p	interpreted	123	41	0
file-locked-p	interpreted	9	3	0
file-modes	interpreted	0	0	0
file-name-absolute-p	interpreted	12	4	0
file-name-all-completions	absent	0	0	0
file-name-as-directory	interpreted	33	11	0
file-name-case-insensitive-p	absent	0	0	0
file-name-completion	absent	0	0	0
file-name-concat	interpreted	0	0	0
file-name-directory	interpreted	72	24	0
file-name-nondirectory	interpreted	12	4	0
file-newer-than-file-p	absent	0	0	0
file-readable-p	interpreted	12	4	0
file-regular-p	interpreted	60	20	0
file-selinux-context	absent	0	0	0
file-symlink-p	interpreted	81	27	0
file-system-info	absent	0	0	0
file-writable-p	interpreted	0	0	0
fillarray	absent	0	0	0
find-buffer	absent	0	0	0
find-charset-region	absent	0	0	0
find-charset-string	absent	0	0	0
find-coding-systems-region-internal	absent	0	0	0
find-composition-internal	absent	0	0	0
find-file-name-handler	absent	0	0	0
find-font	absent	0	0	0
find-operation-coding-system	absent	0	0	0
float	interpreted	549	183	0
float-time	native	75	25	0
floatp	native	12	4	0
floor	interpreted	9	3	0
flush-standard-output	absent	0	0	0
fmakunbound	interpreted	0	0	0
following-char	interpreted	0	0	0
font-at	absent	0	0	0
font-face-attributes	absent	0	0	0
font-family-list	absent	0	0	0
font-get	absent	0	0	0
font-get-glyphs	absent	0	0	0
font-get-system-font	absent	0	0	0
font-get-system-normal-font	absent	0	0	0
font-has-char-p	absent	0	0	0
font-info	absent	0	0	0
font-match-p	absent	0	0	0
font-put	absent	0	0	0
font-shape-gstring	absent	0	0	0
font-spec	absent	0	0	0
font-variation-glyphs	absent	0	0	0
font-xlfd-name	absent	0	0	0
fontp	absent	0	0	0
fontset-font	absent	0	0	0
fontset-info	absent	0	0	0
fontset-list	absent	0	0	0
